source_cbsa_code,source_metro,source_cluster,neighbor_rank,neighbor_cbsa_code,neighbor_metro,neighbor_cluster,distance,neighbor_annual_rent,neighbor_rpp_all_items,neighbor_rpp_housing,neighbor_median_household_income,neighbor_real_household_income,neighbor_mean_real_occ_wage,neighbor_mean_real_income_after_rent,neighbor_mean_rent_burden,neighbor_share_high_lq
10780,"Alexandria, LA",2,5,39380,"Pueblo, CO",2,4.946336294638716,13332.0,91.762,71.285,64010.0,69756.54410322355,65412.420195636885,50883.53024118951,0.2554319191910117,0.39763779527559057
10780,"Alexandria, LA",2,6,38540,"Pocatello, ID",2,5.085891274273417,11520.0,88.906,66.396,66499.0,74796.97658200796,62063.57907681719,49106.07339666061,0.24592540601312957,0.3468208092485549
10780,"Alexandria, LA",2,7,36980,"Owensboro, KY",2,5.10042404377905,10884.0,88.61,55.698,68002.0,76743.03126058007,61968.56622802557,49685.52819620073,0.23782500534711193,0.36633663366336633
10780,"Alexandria, LA",2,8,27860,"Jonesboro, AR",2,5.1373742323009814,11148.0,85.876,53.848,56738.0,66069.68186687781,60278.60351726368,47297.09529610759,0.25100764913006907,0.3983402489626556
10780,"Alexandria, LA",2,9,27180,"Jackson, TN",2,5.193558321377896,11964.0,85.522,56.567,61177.0,71533.64046678047,64366.84420383058,50377.461354972984,0.2560485348037776,0.3711340206185567
10780,"Alexandria, LA",2,10,10500,"Albany, GA",2,5.288229896785886,11400.0,87.669,54.626,56906.0,64910.05942807606,63410.94034166649,50407.48415989186,0.2527808062075669,0.3601694915254237
10900,"Allentown-Bethlehem-Easton, PA-NJ",4,1,39740,"Reading, PA",4,3.191895138560498,14172.0,97.06,85.419,79777.0,82193.48856377498,63929.24829493275,49327.970734660754,0.26702749400029324,0.2684729064039409
10900,"Allentown-Bethlehem-Easton, PA-NJ",4,2,49620,"York-Hanover, PA",4,3.849509328994434,14316.0,96.0,79.762,84829.0,88363.54166666667,63750.44718013469,48837.94718013469,0.27805188096679934,0.2964824120603015
10900,"Allentown-Bethlehem-Easton, PA-NJ",4,3,25420,"Harrisburg-Carlisle, PA",4,4.041164210204174,14544.0,98.65,96.28,80919.0,82026.35580334516,63772.066346825595,49029.035429440904,0.2705695567354116,0.21914893617021278
10900,"Allentown-Bethlehem-Easton, PA-NJ",4,4,29540,"Lancaster, PA",3,4.119102049103744,16284.0,98.257,93.815,86959.0,88501.58258444691,61217.05816689836,44644.1931292929,0.3136956554666581,0.31685393258426964
10900,"Allentown-Bethlehem-Easton, PA-NJ",4,5,25180,"Hagerstown-Martinsburg, MD-WV",4,4.451200979180729,13908.0,94.171,75.737,78802.0,83679.6890762549,63970.349531323714,49201.47163897894,0.2702539647279858,0.2708333333333333
10900,"Allentown-Bethlehem-Easton, PA-NJ",4,6,31140,"Louisville/Jefferson County, KY-IN",4,4.490657982300851,13392.0,93.074,78.558,73863.0,79359.43442851923,65402.935966981255,51014.384921576515,0.2548875194337051,0.21847246891651864
10900,"Allentown-Bethlehem-Easton, PA-NJ",4,7,30460,"Lexington-Fayette, KY",4,4.514629915517501,13656.0,92.889,77.093,71966.0,77475.26617791127,65679.17980959354,50977.761988322985,0.2637648845559352,0.2595078299776286
10900,"Allentown-Bethlehem-Easton, PA-NJ",4,8,24340,"Grand Rapids-Wyoming-Kentwood, MI",4,4.64991657454774,14424.0,95.546,86.596,82874.0,86737.27837900068,64744.44559242641,49648.05223216016,0.2729372434726822,0.2539964476021314
